"","BR","BRC1","BRC17","BRC30","BRC5","PC1","PC17","PC30","PC5","PM"
"Firmicutes",0.00402177381086539,0.846571057019636,0.511183871609552,0.662008893629667,0.356132182544782,0.675253904911491,0.966491934355857,0.986285596528189,0.979102792714346,0.498897784808934
"Proteobacteria",0.928916815462765,0.115452153727249,0.0627710402559285,0.229052180109808,0.0299708166354482,0.164892547161382,0.0328241210625435,0.0137144034718114,0.0155254875307814,0.424693024578582
"Calditrichaeota",0,0.000250535658518176,0.422183164358779,0.0926539970843667,0.588706578649059,0,0,0,0.000773450419631691,0
"Actinobacteria",0.0636935248393903,0.0366892396668903,0.00386192377574,0.0162849291761584,0.025190422170711,0.125937430949377,0.000683944581599596,0,0.00379670854717809,0.0528535545247472
"Heterolobosea",0.00336788588697891,0.00103701392770662,0,0,0,0.0339161169777505,0,0,0.000801560788062643,0.0235556360877361
