"sample"	"PC1"	"PC2"	"Group"
"BR_1"	0.0143987435203447	0.0995282305197385	"BR"
"BR_2"	0.116209396600776	-0.0693051834668249	"BR"
"BR_3"	0.124037450264625	-0.0730456383007322	"BR"
"BRC1_1"	0.0138149910137339	0.0810963386932832	"BRC1"
"BRC1_2"	0.0125029175699214	0.083687349633154	"BRC1"
"BRC1_3"	0.0211119735765094	0.0704072756834276	"BRC1"
"BRC17_1"	-0.0628746756035855	-0.00192061611323814	"BRC17"
"BRC17_2"	-0.0619224555482728	-0.00911470163181117	"BRC17"
"BRC17_3"	-0.0658892280123091	-0.00930600937005416	"BRC17"
"BRC30_1"	-0.0631400956903858	0.0161744521580384	"BRC30"
"BRC30_2"	-0.058901346948606	0.0203970921332389	"BRC30"
"BRC30_3"	-0.0664363145453747	0.0311510130637107	"BRC30"
"BRC5_1"	-0.0640270067739114	-0.0288652303867974	"BRC5"
"BRC5_2"	-0.0654040499784211	-0.0247226411229552	"BRC5"
"BRC5_3"	-0.0599119834941072	-0.0175030672050547	"BRC5"
"PC1_1"	0.134778999402942	0.0221954781867912	"PC1"
"PC1_2"	0.134176531248985	0.0232018847668773	"PC1"
"PC1_3"	0.13215491191562	0.0209618690162497	"PC1"
"PC17_1"	-0.0285014323944955	-0.0192385943317018	"PC17"
"PC17_2"	-0.0294844802152678	-0.0196686320436214	"PC17"
"PC17_3"	-0.0275194507872939	-0.0244721972202396	"PC17"
"PC30_1"	-0.0566272772624052	0.0474803166484895	"PC30"
"PC30_2"	-0.060396854703872	0.0533476218527444	"PC30"
"PC30_3"	-0.0575002973849208	0.0468956510766811	"PC30"
"PC5_1"	-0.0436152263346506	-0.0965097567964327	"PC5"
"PC5_2"	-0.0317949700292254	-0.0954490674183203	"PC5"
"PC5_3"	-0.0405399039489951	-0.0952331903894291	"PC5"
"PM_1"	0.0744140313093879	-0.00618690741874297	"PM"
"PM_2"	0.0856944172433545	-0.0212994475855069	"PM"
"PM_3"	0.0811926859899013	-0.00468369263096177	"PM"
