"","BR","BRC1","BRC17","BRC30","BRC5","PC1","PC17","PC30","PC5","PM"
"Firmicutes",1,0.864596034432347,0,NA,0,0,0,NA,0,NA
"Proteobacteria",0,0.135403965567653,1,NA,1,1,1,NA,1,NA
