"","PC1","PC17","PC30"
"norank",0.0615048266302234,0.394285326718044,0.351100860169182
"Thermobifida",0.0336665877256067,0.201947852982584,0.375058461685119
"Corynebacterium",0.437062827668769,0.0029766990701561,0
"Paenibacillus",0.167671571875835,0.13991352849378,0.074317805854618
"Thermomonospora",0.0233258882498767,0.153526983911361,0.100110571515289
"Mycolicibacterium",0.099374808531718,0.0826443494378718,0.0678013344607137
"Lysinimicrobium",0.0979092206779227,0.00130990614968425,0
"Thermobacillus",0.0794842686400483,0.0098008439794522,0.00299624383796211
"Woeseia",0,0.0135945092570681,0.0286147224771171
