"","PC1","PC17","PC30"
"norank",0.0615048266302234,0.376542028974909,0.345580123283104
"Nocardiopsaceae",0.0336665877256067,0.201947852982584,0.375058461685119
"Paenibacillaceae",0.247155840515883,0.167457670216367,0.0828347865786585
"Corynebacteriaceae",0.437062827668769,0.0029766990701561,0
"Thermomonosporaceae",0.0233258882498767,0.153526983911361,0.100110571515289
"Mycobacteriaceae",0.099374808531718,0.0826443494378718,0.0678013344607137
"Demequinaceae",0.0979092206779227,0.00130990614968425,0
"Woeseiaceae",0,0.0135945092570681,0.0286147224771171
