"","BR","BRC1","BRC17","BRC30","BRC5","PC1","PC17","PC30","PC5","PM"
"Actinobacteria",0.103831246598571,0.604189771294579,0.747411288350015,0.680968707439445,0.744842940982974,0.1238878154608,0.835312601246687,0.903055291286442,0.430102825539257,0.460207826708182
"Clostridia",0.807674829148635,0.305594237415299,0.00183791050556999,0,0.0111583906569731,0.0656891049144617,0,0,0.0321851699896908,0.431245987096893
"Bacilli",0.0873092330327542,0.0189391713041922,0.0184533514249034,0.00761124400403154,0.00660781243415377,0.806968631440034,0.0767263319964097,0.00307425611766815,0.517528360495843,0.107150991650192
"norank",0.00118469122004016,0.00101598358983694,0.166646533150776,0.287843216150979,0.108184275892104,0.00125770448796814,0.0879610667569032,0.092710843342526,0.00553694935492742,0
"Deltaproteobacteria",0,0.0702608363960928,0.0656509165687353,0.0235768324055437,0.129206580033795,0.00219674369673623,0,0.00115960925336398,0.0146466946202823,0.00139519454473281
