"Group"	"SenX3-RegX3 system"	"PhoR-PhoB system"
"BR"	1	1
"BRC1"	5.02559230737981	0.838399411123619
"BRC17"	4.11969461942226	1.16624620965761
"BRC30"	2.86009592102448	1.01728308573103
"BRC5"	5.5660705874809	0.891043223690335
"PC1"	1.59386814685758	2.0649230632207
"PC17"	4.99519432211601	2.50435624404058
"PC30"	6.81109615915388	2.06873208811744
"PC5"	2.57484032148216	2.43103341438939
"PM"	3.5028051688884	1.30015018454975
