"","BR","BRC1","BRC17","BRC30","BRC5","PC1","PC17","PC30","PC5","PM"
"Proteobacteria",0.634058585816288,0.49196569633866,0.38380106165692,0.510097799657559,0.37760738171987,0.190248187529061,0.386297838594759,0.478289828063614,0.518142857884277,0.291077009943506
"Actinobacteria",0.045353058181847,0.251857639929369,0.325507349041127,0.159703397944493,0.423770278394841,0.573567833857421,0.251846602010563,0.16369658119754,0.340156756185237,0.498894064842517
"Firmicutes",0.204328446351113,0.185803490853744,0.048048909859069,0.0154949705342176,0.0749516293786206,0.183132393068252,0.0613990938766025,0.03669555896027,0.0866896998247718,0.176076158337428
"norank",0,0,0.0963734839754699,0.0841824603955531,0.000565319948172413,0,0.248607641013727,0.290938540873713,0.0303007951012147,0
"Planctomycetes",0,0.00618868452235807,0.056545121496335,0.0400373470628353,0.118525891583291,0.0273746851460246,0.0359306832886955,0.00886432223750818,0.0233611601477887,0.0035885531026747
"Bacteroidetes",0.0965118060180113,0.0615901924434292,0.0200485950252564,0.063104074786302,0.000878009318914193,0.0256769003992401,0.0119612479843216,0.00714944406861715,0.00134873085671047,0.0294040983033837
"Chloroflexi",0.00941980625259298,0.000171655670613793,0.0459349696278784,0.115657022954835,0.00130063596827138,0,0.00395689323133177,0.014365724598737,0,0.000960115470491025
"Gemmatimonadetes",0,0,0.0237405093179451,0.0117229266642044,0.00240085368801959,0,0,0,0,0
"Candidatus Hydrogenedentes",0.0103282973801484,0.00242264024182581,0,0,0,0,0,0,0,0
