"","PC1","PC17","PC30"
"Actinobacteria",0.847429815179996,0.899918858616636,0.970390034735981
"Bacilli",0.0291428825378059,0.0981452433651769,0.0264981639223921
"Alphaproteobacteria",0.123427302282198,0.00193589801818692,0
"Betaproteobacteria",0,0,0.00270928513173101
"Thermoleophilia",0,0,0.000402516209895635
"Gammaproteobacteria",0,0,0
