"","BR","BRC1","BRC17","BRC30","BRC5","PC1","PC17","PC30","PC5","PM"
"Proteobacteria",0.801196382565136,0.873771684855109,0.847879829676612,0.944554654194918,0.922317154954941,0.743041959379288,0.944112835265116,0.95154827634424,0.984545142143376,0.853448532934213
"Bacteroidetes",0.190114497457305,0.0775419120011547,0,0,0.0100874318118459,0.139160468615233,0.00206399906077845,0,0.00208513195832223,0.126403821554914
"candidate division NC10",0.00246689866781932,0,0.0253121933118453,0.0179107932771966,0,0.0759239705690862,0.0430229469203847,0.0338972729554144,0.0121857061746042,0
"Verrucomicrobia",0.000199078610104224,0,0.0750403820550439,0.0144959998377726,0.031483278600587,0,0.00417398637089589,0,0,0
"Actinobacteria",0.00382912461777043,0.0344789577757383,0.00264345666793301,0,0.0211419980304967,0.0418736014363922,0,0,0.00118401972369744,0.015861364961616
"Planctomycetes",0.000632070457308889,0,0.0491241382885662,0.0230385526901129,0.0109340214245149,0,0.00662623238282476,0.0145544507003458,0,0
"Firmicutes",0.00156194762455572,0.0142074453679978,0,0,0.00403611517761459,0,0,0,0,0.00428628054925747
